lat,lon,amenity,name,area_name,has_wikidata,count,rating,rating_num
49.2772564,-123.1187373,cafe,Starbucks,Downtown,True,88,4.0,89.0
49.2768092,-123.1148343,cafe,Starbucks,Downtown,True,88,4.1,224.0
49.2319246,-123.1168641,cafe,Starbucks,Oakridge,False,88,4.1,407.0
49.2596905,-123.0438986,cafe,Starbucks,Renfrew-Collingwood,True,88,4.3,343.0
49.2586029,-123.0307066,cafe,Starbucks,Renfrew-Collingwood,True,88,4.2,365.0
49.2637294,-123.2115251,cafe,Starbucks,West Point Grey,True,88,4.0,156.0
49.2643151,-123.173779,cafe,Starbucks,Kitsilano,True,88,4.2,176.0
49.2877059,-123.1133343,cafe,Starbucks,Downtown,True,88,3.7,97.0
49.2540797,-123.115006,cafe,Starbucks,Riley Park,True,88,4.1,339.0
49.2843874,-123.1086358,cafe,Starbucks,Downtown,True,88,3.9,293.0
49.2811335,-123.073946,cafe,Starbucks,Grandview-Woodland,True,88,3.9,296.0
49.260953,-123.125704,fast_food,Salad Loop,Fairview,False,2,4.5,8.0
49.2791142,-123.1158255,fast_food,Salad Loop,Downtown,False,2,3.6,8.0
49.2831924,-123.1090499,pub,The Cambie,Downtown,False,1,4.1,2473.0
49.2347493,-123.1547249,fast_food,McDonald's,Shaughnessy,True,21,3.2,1668.0
49.2081236,-123.1407827,fast_food,McDonald's,Marpole,True,21,3.7,1026.0
49.265883,-123.0242786,fast_food,McDonald's,Hastings-Sunrise,True,21,3.4,2019.0
49.233088,-123.0657292,fast_food,McDonald's,Kensington-Cedar Cottage,True,21,3.3,893.0
49.2182564,-123.0773813,fast_food,McDonald's,Sunset,True,21,3.5,839.0
49.2633884,-123.1160798,fast_food,McDonald's,Fairview,True,21,3.5,452.0
49.2906218,-123.1338516,fast_food,McDonald's,West End,True,21,3.4,567.0
49.2808969,-123.1073143,fast_food,McDonald's,Downtown,True,21,3.1,822.0
49.2634479,-123.1380669,fast_food,McDonald's,Fairview,True,21,3.4,630.0
49.2060719,-123.125509,fast_food,McDonald's,Marpole,True,21,3.7,1026.0
49.280548,-123.1213662,fast_food,McDonald's,Downtown,True,21,3.5,1401.0
49.2683578,-123.1595125,fast_food,McDonald's,Kitsilano,True,21,3.5,388.0
49.2847649,-123.1210612,fast_food,McDonald's,Downtown,True,21,2.3,6.0
49.2617463,-123.0696025,fast_food,McDonald's,Kensington-Cedar Cottage,True,21,3.3,818.0
49.2873965,-123.1143665,fast_food,McDonald's,Downtown,True,21,3.5,509.0
49.285126,-123.0640036,fast_food,McDonald's,Grandview-Woodland,True,21,3.2,628.0
49.2451512,-123.1015128,fast_food,McDonald's,Riley Park,True,21,3.5,624.0
49.2640388,-123.178066,fast_food,McDonald's,Kitsilano,True,21,3.5,812.0
49.2808356,-123.0305122,fast_food,McDonald's,Hastings-Sunrise,True,21,3.4,1773.0
49.2788511,-123.1156891,fast_food,McDonald's,Downtown,True,21,3.6,1076.0
49.2852884,-123.1390222,fast_food,McDonald's,West End,True,21,3.4,629.0
49.2635825,-123.1288364,cafe,Waves,Fairview,False,2,3.8,309.0
49.2805086,-123.0999462,cafe,Waves,Downtown,False,2,3.5,128.0
49.268662,-123.1045109,bar,Faculty Brewing,Mount Pleasant,False,1,4.5,325.0
49.2685718,-123.1045263,cafe,Argo Cafe,Mount Pleasant,False,1,4.6,452.0
49.2672519,-123.1033949,pub,R & B Ale & Pizza House,Mount Pleasant,False,1,4.4,912.0
49.2665754,-123.103744,restaurant,Peaceful Restaurant,Mount Pleasant,False,5,4.1,650.0
49.2334631,-123.034937,restaurant,Peaceful Restaurant,Killarney,False,5,3.6,425.0
49.2681152,-123.1595834,restaurant,Peaceful Restaurant,Kitsilano,False,5,3.9,482.0
49.2630798,-123.1160636,restaurant,Peaceful Restaurant,Fairview,False,5,4.1,650.0
49.282833,-123.1154195,restaurant,Peaceful Restaurant,Downtown,False,5,3.8,658.0
49.281302,-123.0575579,restaurant,Tacofino Commissary,Grandview-Woodland,False,1,4.4,1134.0
49.2812984,-123.0573443,restaurant,Miyako Sushi,Grandview-Woodland,False,1,3.0,295.0
49.2812866,-123.0550913,restaurant,What's Up? Hot Dog!,Hastings-Sunrise,False,1,4.3,737.0
49.2821554,-123.0998393,cafe,Waves Coffee,Downtown,False,2,3.5,128.0
49.2838195,-123.1118877,cafe,Waves Coffee,Downtown,False,2,4.1,371.0
49.2832655,-123.0978958,restaurant,St Lawrence Restaurant,Strathcona,False,1,4.7,712.0
49.2832876,-123.0980745,restaurant,Cuhillo,Strathcona,False,1,4.5,816.0
49.2831728,-123.0935162,cafe,The Uncommon Cafe,Strathcona,False,1,4.4,116.0
49.2796054,-123.1002799,restaurant,Juniper,Downtown,False,1,0.0,0.0
